"Lactate dehydrogenase, U/L",,300.0 (234.0-407.0),521.0 (363.0-669.0),253.5 (219.0-318.0),<0.0001
,>245,123/184 (67%),53 (98%),70/130 (54%),<0.0001
"Creatine kinase, U/L",,21.5 (13.0-72.4),39.0 (19.5-151.0),18.0 (12.5-52.1),0.001
,>185,22/168 (13%),11/52 (21%),11/116 (9%),0.038
"High-sensitivity cardiac troponin I, pg/mL",,4.1 (2.0-14.1),22.2 (5.6-83.1),3.0 (1.1-5.5),<0.0001
,>28,24/145 (17%),23/50 (46%),1/95 (1%),<0.0001
"Prothrombin time, s",,11.6 (10.6-13.0),12.1 (11.2-13.7),11.4 (10.4-12.6),0.0004
,<16,171/182 (94%),47 (87%),124/128 (97%),0.016*
,?16,11/182 (6%),7 (13%),4/128 (3%),..
"D-dimer, ?g/mL",,0.8 (0.4-3.2),5.2 (1.5-21.1),0.6 (0.3-1.0),<0.0001
,?0.5,55/172 (32%),4 (7%),51/118 (43%),<0.0001*
,>0.5 to ?1,45/172 (26%),6 (11%),39/118 (33%),..
,>1,72/172 (42%),44 (81%),28/118 (24%),..
"Serum ferritin, ?g/L",,722.0 (377.2-1435.3),1435.3 (728.9-2000.0),503.2 (264.0-921.5),<0.0001
,>300,102/128 (80%),44/46 (96%),58/82 (71%),0.0008
"IL-6, pg/mL",,7.4 (5.3-10.8),11.0 (7.5-14.4),6.3 (5.0-7.9),<0.0001
"Procalcitonin, ng/mL",,0.1 (0.1-0.1),0.1 (0.1-0.5),0.1 (0.1-0.1),<0.0001
,<0.1,114/164 (70%),19/51 (37%),95/113 (84%),<0.0001*
,?0.1 to <0.25,30/164 (18%),16/51 (31%),14/113 (12%),..
,?0.25 to <0.5,6/164 (4%),3/51 (6%),3/113 (3%),..
,?0.5,14/164 (9%),13/51 (25%),1/113 (1%),..
,,,,,
Consolidation,,112 (59%),40 (74%),72 (53%),0.0065
Ground-glass opacity,,136 (71%),44 (81%),92 (67%),0.049
Bilateral pulmonary infiltration,,143 (75%),45 (83%),98 (72%),0.09
"Data are median (IQR), n (%), or n/N (%). p values were calculated by Mann-Whitney U test, ? 2 test, or Fisher's exact test, as appropriate. SOFA=Sequential Organ Failure Assessment. qSOFA=Quick SOFA. ALT=alanine aminotransferase. IL-6=interleukin-6.",,,,,
* ? 2 test comparing all subcategories.,,,,,
